id	choice_key	dilemma_key	payload_key	value	target_key
#cdir_events_dilemma_payloads_tables;0;db/cdir_events_dilemma_payloads_tables/land_encounters_and_points_of_interest					
7017900554	FIRST	land_enc_dilemma_skirmish_cth	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900555	SECOND	land_enc_dilemma_skirmish_cth	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900556	FIRST	land_enc_dilemma_skirmish_kis	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900557	SECOND	land_enc_dilemma_skirmish_kis	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900558	FIRST	land_enc_dilemma_skirmish_ogr	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900559	SECOND	land_enc_dilemma_skirmish_ogr	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900560	FIRST	land_enc_dilemma_skirmish_nur	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900561	SECOND	land_enc_dilemma_skirmish_nur	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900562	FIRST	land_enc_dilemma_skirmish_tze	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900563	SECOND	land_enc_dilemma_skirmish_tze	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900564	FIRST	land_enc_dilemma_underground_cth	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900565	SECOND	land_enc_dilemma_underground_cth	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900566	FIRST	land_enc_dilemma_underground_kis	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900567	SECOND	land_enc_dilemma_underground_kis	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900568	FIRST	land_enc_dilemma_underground_ogr	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900569	SECOND	land_enc_dilemma_underground_ogr	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900570	FIRST	land_enc_dilemma_underground_tze	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900571	SECOND	land_enc_dilemma_underground_tze	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900572	FIRST	land_enc_dilemma_bandits_emp	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900573	SECOND	land_enc_dilemma_bandits_emp	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900574	FIRST	land_enc_dilemma_bandits_wef	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900575	SECOND	land_enc_dilemma_bandits_wef	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900576	FIRST	land_enc_dilemma_bandits_nor	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900577	SECOND	land_enc_dilemma_bandits_nor	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900578	FIRST	land_enc_dilemma_incursion_army_hef	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900579	SECOND	land_enc_dilemma_incursion_army_hef	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900580	FIRST	land_enc_dilemma_incursion_army_lzd	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900581	SECOND	land_enc_dilemma_incursion_army_lzd	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900582	FIRST	land_enc_dilemma_incursion_army_vco	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900583	SECOND	land_enc_dilemma_incursion_army_vco	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900584	FIRST	land_enc_dilemma_surprise_attack_bst	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900585	SECOND	land_enc_dilemma_surprise_attack_bst	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900586	FIRST	land_enc_dilemma_surprise_attack_skv	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900587	SECOND	land_enc_dilemma_surprise_attack_skv	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900588	FIRST	land_enc_dilemma_battlefield_grn	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900589	SECOND	land_enc_dilemma_battlefield_grn	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900590	FIRST	land_enc_dilemma_battlefield_def	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900591	SECOND	land_enc_dilemma_battlefield_def	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900592	FIRST	land_enc_dilemma_battlefield_vmp	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900593	SECOND	land_enc_dilemma_battlefield_vmp	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900594	FIRST	land_enc_dilemma_battlefield_tmb	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900595	SECOND	land_enc_dilemma_battlefield_tmb	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
